latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-33.78893,147.35373,337.6,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,304.39,7.78,D,0
-33.78885,148.09489,367,0.39,0.44,2026-04-09,428,N,VIIRS,h,2,307.28,8.31,D,0
-33.78796,148.09912,335.33,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,301.6,4.23,D,0
-33.7857,148.08948,347.03,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,302.4,8.31,D,0
-33.78386,147.35852,345.13,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,305.56,10.76,D,0
-33.78268,147.36443,350.63,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,305.39,10.76,D,0
-33.77996,147.35741,343.96,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,304.54,7.86,D,0
-33.77844,147.34448,345.18,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,305.56,7.6,D,0
-33.77726,147.35037,349.65,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,306.32,7.6,D,0
-33.77607,147.35628,348.38,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,304.92,7.86,D,0
-33.77336,147.34927,338.37,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,303.71,5.87,D,0
-33.77217,147.35516,349.85,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,306.37,12.55,D,0
-33.76304,150.02345,344.33,0.5,0.49,2026-04-09,428,N,VIIRS,n,2,295.47,9.99,D,0
-33.75481,148.27666,347.43,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,309.59,36.48,D,0
-33.75073,148.27548,345.48,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,303.78,5.66,D,0
-33.72055,147.4471,337.24,0.55,0.43,2026-04-09,428,N,VIIRS,n,2,306.75,5.77,D,0
-33.71933,147.45308,348.88,0.55,0.43,2026-04-09,428,N,VIIRS,n,2,310.13,16.68,D,0
-33.71595,148.83395,346.92,0.43,0.46,2026-04-09,428,N,VIIRS,n,2,309.67,55.18,D,0
-33.71474,149.85281,344.46,0.49,0.49,2026-04-09,428,N,VIIRS,n,2,294.43,4.84,D,0
-33.71034,149.85132,329,0.49,0.49,2026-04-09,428,N,VIIRS,n,2,293.19,2.72,D,0
-33.66343,148.07741,348.76,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,302.43,5.22,D,0
-33.63429,146.57422,338.73,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,304.83,3.64,D,0
-33.63401,146.6057,339.28,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,307.93,6.83,D,0
-33.63176,146.60802,348.06,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,308.65,4.64,D,0
-33.6307,146.61348,338.16,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,307.06,4.64,D,0
-33.62799,146.60696,350.02,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,308.51,4.64,D,0
-33.62693,146.61244,338.31,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,307.85,4.64,D,0
-33.62588,146.6179,335.56,0.51,0.41,2026-04-09,428,N,VIIRS,l,2,307.21,5.26,D,0
-33.62421,146.60593,340.44,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,306.52,6.1,D,0
-33.59566,146.24463,335.49,0.49,0.4,2026-04-09,428,N,VIIRS,l,2,306.44,3.1,D,0
-33.52274,147.00232,333.38,0.53,0.42,2026-04-09,428,N,VIIRS,l,2,305.7,2.91,D,0
-33.51119,146.99908,337.69,0.53,0.42,2026-04-09,428,N,VIIRS,n,2,303.03,1.89,D,0
-33.45345,148.27043,341.35,0.41,0.45,2026-04-09,428,N,VIIRS,n,2,303.61,7.39,D,0
-33.44935,148.26921,333.41,0.41,0.45,2026-04-09,428,N,VIIRS,n,2,301.77,2.43,D,0
-33.41451,148.18091,342.03,0.41,0.45,2026-04-09,428,N,VIIRS,n,2,305.74,6.39,D,0
-33.41042,148.17972,343.14,0.41,0.45,2026-04-09,428,N,VIIRS,n,2,303.81,5.97,D,0
-33.22184,145.46292,335.8,0.46,0.39,2026-04-09,428,N,VIIRS,n,2,300.91,4.92,D,0
-33.17477,148.46713,345.58,0.42,0.45,2026-04-09,428,N,VIIRS,n,2,303.82,8.74,D,0
-33.15311,148.75616,345.2,0.44,0.46,2026-04-09,428,N,VIIRS,n,2,302.88,10.24,D,0
-33.11715,146.59648,342.45,0.52,0.41,2026-04-09,428,N,VIIRS,n,2,304.41,7.54,D,0
-33.01948,148.95123,330.08,0.45,0.47,2026-04-09,428,N,VIIRS,n,2,300.08,6.48,D,0
-33.01846,148.95598,332.32,0.45,0.47,2026-04-09,428,N,VIIRS,n,2,300.53,62.16,D,0
-33.01417,148.95471,367,0.45,0.47,2026-04-09,428,N,VIIRS,h,2,333.41,62.16,D,0
-33.01314,148.95949,341.92,0.45,0.47,2026-04-09,428,N,VIIRS,n,2,300.69,62.16,D,0
-32.98969,146.45775,333.59,0.51,0.41,2026-04-09,428,N,VIIRS,l,2,304.27,3.76,D,0
-32.94853,146.24098,340.72,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,306.86,6.18,D,0
-32.94606,146.2388,347.11,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,308.42,5.72,D,0
-32.94505,146.24411,341.59,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,304.84,5.72,D,0
-32.94478,146.23999,346.63,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,308.39,7.01,D,0
-32.94374,146.24529,340.77,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,303.09,4.88,D,0
